"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FLR","Fluor Corporation","44.8","$6.24B","n/a","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/flr",
"FLY","Fly Leasing Limited","12.08","$402.84M","2007","n/a","n/a","http://www.nasdaq.com/symbol/fly",
"FMC","FMC Corporation","52.46","$7.02B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/fmc",
"FTI","FMC Technologies, Inc.","32.24","$7.28B","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/fti",
"FMX","Fomento Economico Mexicano S.A.B. de C.V.","90.37","$32.34B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/fmx",
"FL","Foot Locker, Inc.","66.17","$8.82B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/fl",
"F","Ford Motor Company","11.34","$45.06B","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/f",
"FELP","Foresight Energy LP","5.79","$758.78M","2014","Energy","Coal Mining","http://www.nasdaq.com/symbol/felp",
"FCE.A","Forest City Realty Trust, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fce.a",
"FCE.B","Forest City Realty Trust, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fce.b",
"FOR","Forestar Group Inc","11.05","$371.55M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/for",
"FTS","Fortis Inc.","32.29","$12.91B","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/fts",
"FTV","Fortive Corporation","51.11","$17.67B","2016","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ftv",
"FIG","Fortress Investment Group LLC","4.87","$1.88B","2007","Finance","Investment Managers","http://www.nasdaq.com/symbol/fig",
"FTAI","Fortress Transportation and Infrastructure Investors LLC","12.92","$978.7M","2015","n/a","n/a","http://www.nasdaq.com/symbol/ftai",
"FSM","Fortuna Silver Mines Inc.","7.09","$1.03B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/fsm",
"FBHS","Fortune Brands Home & Security, Inc.","52.86","$8.14B","n/a","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/fbhs",
"FET","Forum Energy Technologies, Inc.","17.1","$1.56B","2012","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/fet",
"FCPT","Four Corners Property Trust, Inc.","19.25","$1.15B","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fcpt",
"FNV","Franco-Nevada Corporation","67.39","$12.01B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/fnv",
"FC","Franklin Covey Company","18","$255.18M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/fc",
"FSB","Franklin Financial Network, Inc.","31.05","$332.31M","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/fsb",
"BEN","Franklin Resources, Inc.","33.8","$19.47B","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ben",
"FT","Franklin Universal Trust","6.45","$162.1M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ft",
"FI","Frank&#39;s International N.V.","10.59","$1.65B","2013","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/fi",
"FCX","Freeport-McMoran, Inc.","11.05","$14.68B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/fcx",
"FMS","Fresenius Medical Care Corporation","40.72","$25.01B","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/fms",
"FDP","Fresh Del Monte Produce, Inc.","60.79","$3.15B","1997","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/fdp",
"FRO","Frontline Ltd.","7.02","$1.1B","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/fro",
"FSIC","FS Investment Corporation","9.25","$2.25B","2014","n/a","n/a","http://www.nasdaq.com/symbol/fsic",
"FCN","FTI Consulting, Inc.","40.79","$1.73B","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/fcn",
"FF","FutureFuel Corp.","10.69","$467.38M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ff",
"GCV","Gabelli Convertible and Income Securities Fund, Inc. (The)","4.65","$65.47M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gcv",
"GCV^B","Gabelli Convertible and Income Securities Fund, Inc. (The)","26.7","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gcv^b",
"GDV","Gabelli Dividend","18.01","$1.49B","2003","n/a","n/a","http://www.nasdaq.com/symbol/gdv",
"GDV^A","Gabelli Dividend","26.39","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gdv^a",
"GDV^D","Gabelli Dividend","26.75","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gdv^d",
"GDV^G","Gabelli Dividend","25.63","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gdv^g",
"GAB","Gabelli Equity Trust, Inc. (The)","5.15","$1.13B","1986","n/a","n/a","http://www.nasdaq.com/symbol/gab",
"GAB^D","Gabelli Equity Trust, Inc. (The)","26.44","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gab^d",
"GAB^G","Gabelli Equity Trust, Inc. (The)","25.1342","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gab^g",
"GAB^H","Gabelli Equity Trust, Inc. (The)","25.23","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gab^h",
